LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,N
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100.0,360.0,1.0,Rural,Y
LP001535,Male,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,Y
LP002341,Female,No,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,N
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,,0.0,Urban,N
LP002447,Male,Yes,2,Not Graduate,No,1958,1456.0,60.0,300.0,,Urban,Y
sdv-id-lMzSTT,Male,Yes,3+,Not Graduate,No,2970,8041.0,376.0,360.0,1.0,Semiurban,N
sdv-id-xzFBba,Male,Yes,1,Graduate,No,6516,3792.0,162.0,360.0,,Urban,N
sdv-id-ehtDZc,Male,Yes,0,Graduate,No,1210,41667.0,161.0,360.0,,Rural,N
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y
sdv-id-deAUFE,Male,Yes,1,Graduate,No,6677,14724.0,87.0,300.0,0.0,Rural,N
LP002151,Male,Yes,1,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,N
sdv-id-VVwaJN,Male,No,1,Graduate,No,3647,9086.0,141.0,360.0,0.0,Urban,N
sdv-id-TZYXDK,Male,No,2,Not Graduate,,4703,7491.0,309.0,,0.0,Semiurban,N
sdv-id-AsghEv,Male,No,1,Graduate,No,4733,2779.0,171.0,180.0,1.0,Urban,N
sdv-id-iCMYJN,Male,Yes,0,Graduate,No,2656,1704.0,62.0,360.0,1.0,Urban,N
LP002893,Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,N
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y
LP002197,Male,Yes,2,Graduate,No,5185,0.0,155.0,360.0,1.0,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,5000,0.0,72.0,360.0,0.0,Semiurban,N
sdv-id-wdqUqY,Male,Yes,0,Graduate,No,6834,20836.0,347.0,360.0,0.0,Urban,N
LP001908,Female,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,N
LP002243,Male,Yes,0,Not Graduate,No,3010,3136.0,,360.0,0.0,Urban,N
LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125.0,360.0,0.0,Rural,N
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N
sdv-id-UrWcpK,Female,Yes,0,Graduate,,4436,343.0,191.0,360.0,1.0,Rural,N
LP001935,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y
