LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,N
LP002699,Male,Yes,2,Graduate,Yes,17500,0.0,400.0,360.0,1.0,Rural,Y
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y
LP002341,Female,No,1,Graduate,No,2600,0.0,160.0,360.0,1.0,Urban,N
LP001644,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y
LP002357,Female,No,0,Not Graduate,No,2720,0.0,80.0,,0.0,Urban,N
LP002453,Male,No,0,Graduate,Yes,7085,0.0,84.0,360.0,1.0,Semiurban,Y
sdv-id-lMzSTT,Male,Yes,1,Graduate,No,18353,2075.0,18.0,360.0,1.0,Urban,N
sdv-id-xzFBba,Male,Yes,0,Not Graduate,No,6551,3312.0,169.0,360.0,0.0,Rural,N
sdv-id-ehtDZc,Female,No,0,Graduate,No,8214,2.0,76.0,360.0,1.0,Urban,N
LP001449,Male,No,0,Graduate,No,3865,1640.0,,360.0,1.0,Rural,Y
sdv-id-deAUFE,Female,Yes,0,Graduate,No,4016,4887.0,185.0,360.0,0.0,Semiurban,N
LP002130,Male,Yes,,Not Graduate,No,3523,3230.0,152.0,360.0,0.0,Rural,N
sdv-id-VVwaJN,Male,Yes,0,Not Graduate,No,11050,0.0,56.0,360.0,0.0,Urban,N
sdv-id-TZYXDK,Female,Yes,0,Not Graduate,No,5086,675.0,169.0,360.0,0.0,Rural,N
sdv-id-AsghEv,Male,No,,Graduate,No,8527,11368.0,314.0,360.0,1.0,Rural,N
sdv-id-iCMYJN,Male,Yes,0,Graduate,No,6463,3380.0,62.0,180.0,,Urban,N
LP002893,Male,No,0,Graduate,No,1836,33837.0,90.0,360.0,1.0,Urban,N
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y
LP002223,Male,Yes,0,Graduate,No,4310,0.0,130.0,360.0,,Semiurban,Y
LP001702,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N
sdv-id-wdqUqY,Male,Yes,3+,Graduate,No,6941,0.0,135.0,360.0,1.0,Urban,N
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,Y
LP001751,Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,N
LP002236,Male,Yes,2,Graduate,No,4566,0.0,100.0,360.0,1.0,Urban,N
LP002444,Male,No,1,Not Graduate,Yes,2769,1542.0,190.0,360.0,,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N
sdv-id-UrWcpK,Male,No,0,Graduate,No,6669,0.0,59.0,360.0,1.0,Semiurban,N
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,Y
sdv-id-SzpkKL,Male,Yes,3+,Graduate,No,5081,3489.0,282.0,180.0,0.0,Rural,N
sdv-id-cwQUyf,Male,Yes,0,Not Graduate,No,5664,0.0,9.0,360.0,0.0,Semiurban,N
LP002847,Male,Yes,,Graduate,No,5116,1451.0,165.0,360.0,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y
LP002141,Male,Yes,3+,Graduate,No,2666,2083.0,95.0,360.0,1.0,Rural,Y
LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100.0,360.0,1.0,Semiurban,Y
LP002872,,Yes,0,Graduate,No,3087,2210.0,136.0,360.0,0.0,Semiurban,N
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y
LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,132.0,360.0,1.0,Semiurban,Y
LP002126,Male,Yes,3+,Not Graduate,No,3173,0.0,74.0,360.0,1.0,Semiurban,Y
LP002112,Male,Yes,2,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,Y
sdv-id-owvCkb,Male,Yes,1,Graduate,,7341,0.0,33.0,360.0,0.0,Urban,N
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,,Rural,N
LP002545,Male,No,2,Graduate,No,3547,0.0,80.0,360.0,0.0,Rural,N
LP001448,,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y
sdv-id-fgfllu,Male,Yes,0,Graduate,No,8733,3367.0,30.0,360.0,1.0,Semiurban,N
sdv-id-XQwwbS,Male,Yes,0,Not Graduate,No,1551,6480.0,140.0,36.0,1.0,Urban,N
LP002741,Female,Yes,1,Graduate,No,4608,2845.0,140.0,180.0,1.0,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y
sdv-id-lTxXVy,Male,Yes,3+,Graduate,No,7031,0.0,156.0,360.0,1.0,Semiurban,N
LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N
LP002874,Male,No,0,Graduate,No,3229,2739.0,110.0,360.0,1.0,Urban,Y
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,N
sdv-id-VIxTPZ,Male,No,0,Not Graduate,No,4797,887.0,190.0,360.0,1.0,Rural,N
sdv-id-nCoBjI,Male,No,0,Not Graduate,No,13379,0.0,120.0,360.0,1.0,Urban,N
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y
LP002731,Female,No,0,Not Graduate,Yes,18165,0.0,125.0,360.0,1.0,Urban,Y
sdv-id-yJCxEa,Male,Yes,0,Graduate,,3834,632.0,51.0,360.0,,Urban,N
LP002362,Male,Yes,1,Graduate,No,7250,1667.0,110.0,,0.0,Urban,N
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y
