6.4,0.18,0.28,17.05,0.047,53.0,139.0,0.99724,3.25,0.35,10.5,6,0
5.8,0.18,0.37,1.2,0.036,19.0,74.0,0.98853,3.09,0.49,12.7,7,0
6.4,0.31,0.39,7.5,0.04,57.0,213.0,0.99475,3.32,0.43,10.0,5,0
10.5,0.519,0.72,10.25,0.054,15.8,79.6,1.0004,3.7,0.61,10.35,4,1
6.6,0.686,0.51,0.7,0.013,80.9,440.0,0.99747,3.41,0.45,9.76,3,1
9.2,0.297,0.63,7.72,0.018,3.0,139.1,0.9904,3.21,0.58,8.79,4,1
7.3,0.155,0.49,1.3,0.039,34.0,136.0,0.9926,3.14,0.77,10.5,6,0
7.0,0.28,0.33,14.6,0.043,47.0,168.0,0.9994,3.34,0.67,8.8,6,0
10.8,1.033,0.62,2.14,0.033,3.0,237.0,0.99939,3.33,0.28,10.49,3,1
6.4,0.18,0.48,18.0,0.054,56.0,183.0,1.00038,2.98,0.61,8.5,6,0
6.2,0.39,0.24,4.8,0.037,45.0,138.0,0.99174,3.23,0.43,11.2,7,0
8.5,0.404,0.47,2.81,0.017,3.0,39.2,0.9892,3.01,0.68,9.9,4,1
7.5,0.3,0.21,6.55,0.026,33.0,143.0,0.99244,2.92,0.35,11.1,5,0
6.8,0.27,0.12,1.3,0.04,87.0,168.0,0.992,3.18,0.41,10.0,5,0
6.6,0.284,0.83,6.65,0.029,11.6,105.3,0.9982,3.13,0.49,8.0,4,1
6.1,0.27,0.33,2.2,0.021,26.0,117.0,0.9886,3.12,0.3,12.5,6,0
7.7,0.18,0.35,5.8,0.055,25.0,144.0,0.99576,3.24,0.54,10.2,6,0
5.7,0.24,0.3,1.3,0.03,25.0,98.0,0.98968,3.37,0.43,12.4,7,0
8.0,0.315,0.7,0.7,0.068,17.4,112.0,0.99425,3.25,0.38,8.98,4,1
8.3,0.234,0.61,15.27,0.075,3.0,122.5,0.99465,3.23,0.28,8.1,4,1
7.5,0.15,0.38,1.8,0.054,19.0,101.0,0.9946,3.24,0.44,10.0,5,0
9.9,0.196,0.52,1.47,0.013,56.6,255.8,0.99569,3.35,0.56,9.67,4,1
6.8,0.12,0.3,12.9,0.049,32.0,88.0,0.99654,3.2,0.35,9.9,6,0
6.6,0.26,0.24,7.2,0.038,28.0,137.0,0.9952,3.35,0.6,10.4,6,0
