16,5,1250,27,0
2,8,2000,28,1
4,6,1500,46,0
9,9,2250,45,0
14,2,500,14,0
11,6,1500,41,0
7,2,500,16,0
14,1,250,14,0
4,12,858,31,1
4,5,1250,14,1
2,15,3750,49,1
2,2,500,4,0
4,1,250,4,0
9,8,2000,38,1
6,26,2888,44,1
2,9,3325,72,1
21,1,250,21,0
5,11,2662,98,1
4,1,250,4,1
14,1,250,14,0
4,7,3425,98,1
3,11,1937,73,1
7,12,2898,98,1
22,10,2220,72,1
2,15,3750,64,0
7,12,883,52,1
2,17,3028,80,1
13,8,2000,26,0
14,2,500,35,0
11,11,2750,38,0
23,19,4750,62,0
13,11,2391,7,1
4,10,2500,28,1
2,17,323,20,1
4,7,1750,52,0
16,1,250,16,0
2,1,250,2,1
4,7,1750,58,0
5,14,3500,86,0
2,4,1000,26,0
3,4,1000,29,1
2,7,10401,98,1
4,2,500,14,0
5,9,6442,98,1
5,3,5920,28,1
11,5,1250,33,0
4,11,1416,95,1
2,1,250,2,0
5,10,2972,27,1
3,8,2704,3,1
4,7,3410,52,1
2,3,750,14,0
0,7,981,2,1
2,7,272,71,1
14,2,500,21,1
7,5,1250,35,0
23,2,500,26,0
23,6,1500,70,0
7,28,12500,17,1
1,14,3500,58,0
2,4,1000,14,1
3,16,682,47,1
5,6,250,98,1
11,22,5500,98,0
2,8,2000,35,1
14,4,1000,30,0
6,9,1574,36,1
26,10,2579,35,1
23,14,3500,93,0
2,1,250,2,0
11,14,3500,73,1
4,4,1000,4,1
2,2,500,4,0
11,3,750,40,1
6,11,2307,51,1
4,5,1250,23,0
3,16,4000,74,0
2,3,750,4,1
16,7,1750,64,0
0,22,5978,98,1
0,3,750,4,0
6,9,1393,66,1
7,15,830,75,1
21,2,500,21,1
7,11,2750,89,0
14,3,750,28,0
0,8,1051,47,1
2,13,667,12,1
2,2,500,22,0
4,6,1500,16,1
4,15,835,2,1
2,3,750,38,1
14,2,500,16,0
2,6,1500,16,1
4,4,1923,78,1
23,5,1250,58,0
4,2,500,30,0
26,5,1250,49,1
4,2,500,4,0
4,6,1500,41,1
3,10,250,25,1
12,11,2654,40,1
7,9,598,98,1
26,4,250,2,1
2,12,3000,98,0
4,10,4289,22,1
9,5,1250,19,0
14,3,750,41,0
23,38,9500,98,0
1,8,2888,45,1
4,4,1000,18,0
6,16,344,48,1
1,2,1631,94,1
26,22,2986,59,1
19,11,6225,20,1
