0.016,0.017,0.035,0.007,0.019,0.067,0.106,0.07,0.096,0.025,0.08,0.106,0.127,0.089,0.02,0.113,0.283,0.323,0.324,0.433,0.607,0.765,0.92,0.972,0.921,0.754,0.829,0.891,0.731,0.69,0.583,0.494,0.31,0.031,0.024,0.111,0.159,0.137,0.07,0.045,0.062,0.142,0.16,0.138,0.037,0.069,0.087,0.051,0.009,0.02,0.012,0.009,0.022,0.018,0.008,0.007,0.003,0.004,0.006,0.004, R
0.012,0.043,0.06,0.045,0.06,0.036,0.053,0.034,0.105,0.212,0.164,0.19,0.303,0.202,0.059,0.239,0.366,0.381,0.593,0.63,0.58,0.457,0.445,0.369,0.645,0.894,0.898,0.498,0.333,0.235,0.155,0.367,0.434,0.308,0.302,0.411,0.55,0.413,0.55,0.502,0.313,0.28,0.235,0.23,0.116,0.072,0.062,0.032,0.045,0.017,0.008,0.008,0.006,0.017,0.019,0.005,0.011,0.02,0.015,0.006, R
0.015,0.032,0.06,0.105,0.116,0.173,0.168,0.112,0.089,0.12,0.085,0.152,0.23,0.279,0.34,0.453,0.695,0.881,0.915,0.754,0.674,0.715,0.834,0.77,0.699,0.654,0.504,0.493,0.499,0.416,0.163,0.04,0.064,0.296,0.361,0.187,0.048,0.15,0.24,0.198,0.318,0.238,0.172,0.156,0.156,0.042,0.049,0.048,0.022,0.006,0.009,0.006,0.002,0.008,0.013,0.005,0.001,0.002,0.002,0.006, R
0.031,0.049,0.069,0.083,0.008,0.02,0.098,0.102,0.202,0.077,0.177,0.256,0.281,0.272,0.323,0.346,0.54,0.791,0.906,0.87,0.767,0.296,0.415,0.604,0.318,0.348,0.616,0.805,0.629,0.5,0.583,0.666,0.412,0.126,0.249,0.468,0.538,0.315,0.214,0.185,0.168,0.233,0.102,0.071,0.062,0.078,0.076,0.084,0.059,0.007,0.009,0.009,0.003,0.013,0.019,0.01,0.023,0.018,0.005,0.004, R
0.009,0.018,0.006,0.006,0.026,0.046,0.047,0.006,0.042,0.064,0.089,0.16,0.154,0.277,0.218,0.28,0.349,0.282,0.248,0.3,0.43,0.468,0.452,0.503,0.622,0.657,0.663,0.732,0.853,1.0,0.845,0.635,0.631,0.621,0.698,0.587,0.489,0.368,0.204,0.147,0.222,0.145,0.149,0.121,0.114,0.079,0.036,0.015,0.008,0.012,0.002,0.007,0.006,0.013,0.011,0.005,0.009,0.005,0.006,0.002, R
0.035,0.071,0.033,0.027,0.037,0.079,0.108,0.069,0.03,0.088,0.108,0.098,0.225,0.282,0.21,0.124,0.17,0.094,0.109,0.141,0.127,0.315,0.143,0.226,0.576,0.788,0.716,0.6,0.558,0.63,0.766,0.894,0.844,0.681,0.838,1.0,0.95,0.787,0.565,0.348,0.258,0.23,0.295,0.336,0.302,0.219,0.132,0.108,0.056,0.004,0.01,0.016,0.024,0.004,0.02,0.011,0.004,0.01,0.009,0.005, R
0.029,0.038,0.026,0.006,0.013,0.061,0.09,0.111,0.097,0.075,0.053,0.121,0.176,0.204,0.273,0.232,0.268,0.293,0.33,0.491,0.54,0.626,0.683,0.753,0.85,0.894,0.993,0.913,0.708,0.632,0.613,0.464,0.28,0.172,0.166,0.256,0.274,0.321,0.272,0.188,0.155,0.252,0.212,0.18,0.147,0.068,0.109,0.092,0.04,0.009,0.008,0.006,0.007,0.011,0.005,0.01,0.004,0.006,0.005,0.009, R
0.02,0.012,0.012,0.024,0.055,0.021,0.089,0.084,0.134,0.12,0.174,0.139,0.204,0.258,0.262,0.21,0.253,0.321,0.433,0.476,0.533,0.606,0.67,0.748,0.893,0.94,1.0,0.978,0.847,0.764,0.67,0.499,0.372,0.22,0.142,0.268,0.263,0.31,0.339,0.212,0.117,0.266,0.22,0.154,0.146,0.104,0.122,0.074,0.049,0.022,0.003,0.008,0.004,0.006,0.008,0.004,0.004,0.003,0.001,0.002, R
0.041,0.042,0.057,0.013,0.018,0.102,0.105,0.107,0.23,0.226,0.237,0.332,0.383,0.484,0.681,0.756,0.952,0.983,0.887,0.827,0.756,0.822,0.697,0.644,0.695,0.801,0.605,0.608,0.888,0.856,0.556,0.29,0.364,0.479,0.291,0.09,0.204,0.171,0.041,0.129,0.158,0.219,0.17,0.097,0.222,0.273,0.187,0.106,0.066,0.04,0.011,0.003,0.004,0.01,0.012,0.009,0.006,0.006,0.003,0.008, R
0.036,0.163,0.164,0.142,0.113,0.131,0.211,0.227,0.299,0.374,0.304,0.039,0.268,0.54,0.62,0.726,0.835,0.689,0.445,0.392,0.56,0.754,0.831,1.0,0.876,0.709,0.701,0.501,0.394,0.446,0.407,0.077,0.142,0.04,0.36,0.685,0.708,0.36,0.061,0.303,0.397,0.387,0.238,0.206,0.229,0.17,0.159,0.179,0.102,0.015,0.022,0.011,0.007,0.02,0.016,0.006,0.008,0.009,0.011,0.007, R
