8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360.0,,,807.74,793.91,-258.2,15.0,3.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048.0,,,4148.92,651.59,-654.46,5945.9,1.0,q1_q17_dr25_tce,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678.0,,,50.04,16.4,-9.88,65.4,1.0,q1_q17_dr25_tce,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.672,0.062,-0.036,283.71088,47.86327,15.784
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.651209505,5.862e-06,-5.862e-06,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.0,27.7,-27.7,12.42,3.92,-1.69,730.0,,,67.03,62.46,-23.51,513.4,1.0,q1_q17_dr25_tce,6074.0,168.0,-210.0,4.391,0.09,-0.21,1.063,0.336,-0.144,291.0939,48.933842,15.536
52,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.57078281,1.585e-05,-1.585e-05,136.279194,0.000957,-0.000957,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,785.0,,,89.61,38.12,-22.92,88.4,1.0,q1_q17_dr25_tce,5854.0,105.0,-117.0,4.406,0.09,-0.11,1.012,0.154,-0.103,300.86398,44.337551,12.882
60,11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.243380573,2.67e-06,-2.67e-06,170.679233,0.0009,-0.0009,0.915,0.009,-0.63,1.1196,0.0384,-0.0384,821.7,25.6,-25.6,1.99,0.1,-0.12,822.0,,,107.6,21.47,-20.32,38.9,1.0,q1_q17_dr25_tce,4149.0,82.0,-91.0,4.698,0.024,-0.027,0.564,0.03,-0.033,285.17621,50.149818,15.135
73,3246984,K00799.01,,CANDIDATE,CANDIDATE,0.773,0,0,0,0,1.626630225,1.015e-06,-1.015e-06,169.820171,0.000487,-0.000487,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19.0,-19.0,32.43,9.0,-4.83,1547.0,,,1355.88,1105.99,-486.6,103.6,1.0,q1_q17_dr25_tce,5735.0,155.0,-172.0,4.41,0.124,-0.186,0.973,0.27,-0.145,294.36819,38.31028,15.279
96,3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.053,0,1,0,0,10.328035714,3.762e-06,-3.762e-06,174.581054,0.000306,-0.000306,0.281,0.04,-0.064,7.7915,0.0272,-0.0272,16918.0,31.8,-31.8,13.28,3.64,-2.41,843.0,,,119.31,98.49,-48.58,636.8,1.0,q1_q17_dr25_tce,5627.0,169.0,-169.0,4.359,0.18,-0.18,1.024,0.28,-0.186,287.69675,38.886452,15.646
100,3832474,K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,,0,0,0,0,29.1598615,0.0002534,-0.0002534,150.69922,0.00718,-0.00718,0.3619,0.0945,-0.3618,4.803,0.2,-0.2,488.0,43.5,-43.5,1.91,0.2,-0.07,524.0,,,17.85,5.61,-2.68,11.6,,,5485.0,99.0,-112.0,4.556,0.014,-0.094,0.867,0.092,-0.034,285.28363,38.947281,15.403
113,4544670,K00815.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,34.84398644,4.036e-05,-4.036e-05,172.633252,0.00094,-0.00094,0.934,0.575,-0.031,2.9315,0.0702,-0.0702,4523.6,82.5,-82.5,7.61,1.72,-0.91,511.0,,,16.1,11.1,-5.08,76.8,1.0,q1_q17_dr25_tce,5509.0,166.0,-166.0,4.482,0.081,-0.15,0.871,0.196,-0.105,285.92001,39.624828,15.684
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,31.33046135,3.977e-05,-3.977e-05,153.43031,0.00103,-0.00103,0.798,0.021,-0.043,5.176,0.102,-0.102,5073.8,48.4,-48.4,6.5,0.64,-0.23,481.0,,,12.61,3.84,-1.79,117.2,1.0,q1_q17_dr25_tce,5251.0,105.0,-105.0,4.581,0.01,-0.085,0.817,0.08,-0.029,292.23676,41.08588,15.855
135,5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,9.286358079,5.46e-07,-5.46e-07,171.8214689,4.5e-05,-4.5e-05,0.377,0.009,-0.009,3.49949,0.00533,-0.00533,44791.0,32.8,-32.8,17.61,4.05,-1.87,796.0,,,95.03,66.72,-27.73,1671.1,1.0,q1_q17_dr25_tce,5670.0,169.0,-169.0,4.523,0.066,-0.154,0.821,0.189,-0.087,294.74396,40.53392,15.365
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.14451656,1.44e-05,-1.44e-05,135.92831,0.00313,-0.00313,0.004,0.471,-0.003,2.3421,0.0984,-0.0984,391.8,19.8,-19.8,1.48,0.05,-0.09,864.0,,,132.08,17.05,-24.15,22.8,2.0,q1_q17_dr25_tce,4768.0,76.0,-85.0,4.536,0.056,-0.016,0.779,0.023,-0.049,291.15878,40.750271,15.66
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.912,0,0,0,0,24.99324319,6.127e-05,-6.127e-05,138.68167,0.00197,-0.00197,0.686,0.015,-0.505,5.9409,0.0669,-0.0669,269.6,4.9,-4.9,2.29,0.12,-0.08,712.0,,,60.88,10.13,-7.34,62.0,1.0,q1_q17_dr25_tce,5718.0,85.0,-77.0,4.181,0.018,-0.016,1.317,0.064,-0.048,287.36279,38.649601,12.377
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.49018305,1.181e-05,-1.181e-05,174.95037,0.00124,-0.00124,0.02,0.404,-0.02,2.7297,0.0424,-0.0424,1123.6,22.7,-22.7,2.56,0.17,-0.12,753.0,,,76.06,17.21,-12.63,53.0,1.0,q1_q17_dr25_tce,5103.0,101.0,-101.0,4.562,0.032,-0.052,0.787,0.051,-0.039,291.63898,42.436321,15.599
184,6862328,K00865.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,119.0207044,0.0001179,-0.0001179,222.236492,0.000704,-0.000704,0.076,0.173,-0.076,8.1405,0.0382,-0.0382,7430.5,38.4,-38.4,8.98,1.23,-1.35,366.0,,,4.25,1.58,-1.34,223.5,1.0,q1_q17_dr25_tce,5453.0,81.0,-73.0,4.342,0.144,-0.108,1.062,0.146,-0.16,291.58377,42.36816,15.085
186,6862603,K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.861159894,3.059e-06,-3.059e-06,171.648106,0.00088,-0.00088,0.965,0.13,-0.043,1.8832,0.0878,-0.0878,1014.3,28.6,-28.6,4.37,1.38,-0.46,1355.0,,,797.1,768.91,-244.21,58.3,1.0,q1_q17_dr25_tce,6126.0,193.0,-214.0,4.458,0.052,-0.208,1.021,0.324,-0.108,291.67172,42.343109,15.618
189,7366258,K00880.03,Kepler-82 e,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.902245782,7.373e-06,-7.373e-06,136.78393,0.00101,-0.00101,0.209,0.165,-0.209,2.9003,0.0317,-0.0317,702.3,12.8,-12.8,2.43,0.27,-0.18,926.0,,,173.74,58.69,-36.35,59.3,3.0,q1_q17_dr25_tce,5427.0,108.0,-108.0,4.463,0.064,-0.088,0.929,0.104,-0.069,292.87338,42.966141,15.158
206,7287995,K00877.03,Kepler-81 d,CONFIRMED,CANDIDATE,0.998,0,0,0,0,20.83762895,9.65e-05,-9.65e-05,132.08488,0.00391,-0.00391,0.706,0.04,-0.505,2.3734,0.0987,-0.0987,439.0,30.9,-30.9,1.42,0.06,-0.07,418.0,,,7.24,1.25,-1.16,14.9,3.0,q1_q17_dr25_tce,4261.0,85.0,-85.0,4.641,0.027,-0.02,0.633,0.026,-0.029,293.63696,42.82497,15.019
219,7434875,K00884.02,Kepler-247 d,CONFIRMED,FALSE POSITIVE,0.0,1,0,0,0,20.47748843,3.126e-05,-3.126e-05,178.66786,0.00103,-0.00103,0.497,0.015,-0.44,2.8364,0.0419,-0.0419,1382.4,28.2,-28.2,2.92,0.35,-0.19,530.0,,,18.65,7.63,-4.3,52.7,2.0,q1_q17_dr25_tce,5097.0,152.0,-152.0,4.597,0.025,-0.085,0.779,0.093,-0.053,288.64252,43.039291,15.067
222,7455287,K00886.02,Kepler-54 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.07134205,4.21e-05,-4.21e-05,143.45948,0.00287,-0.00287,0.014,0.518,-0.014,4.3224,0.0983,-0.0983,759.2,26.4,-26.4,1.29,0.1,-0.15,395.0,,,5.74,1.46,-1.67,31.0,2.0,q1_q17_dr25_tce,3713.0,74.0,-92.0,4.779,0.063,-0.031,0.47,0.036,-0.054,294.77393,43.056301,15.847
250,8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.8484518,1.631e-05,-1.631e-05,171.80584,0.00122,-0.00122,0.21,0.217,-0.21,2.9993,0.0431,-0.0431,1675.6,28.8,-28.8,2.34,0.44,-0.43,499.0,,,14.66,22.69,-8.24,64.5,1.0,q1_q17_dr25_tce,4201.0,676.0,-416.0,4.682,0.088,-0.072,0.591,0.109,-0.109,295.57935,44.545959,15.058
260,8226994,K00906.03,Kepler-250 b,CONFIRMED,CANDIDATE,0.957,0,0,0,0,4.14810719,3.053e-05,-3.053e-05,133.3881,0.00558,-0.00558,0.093,0.365,-0.093,2.535,0.183,-0.183,175.2,15.3,-15.3,1.08,0.04,-0.09,938.0,,,182.76,28.04,-36.7,12.9,3.0,q1_q17_dr25_tce,5029.0,83.0,-75.0,4.494,0.077,-0.027,0.838,0.033,-0.066,289.59476,44.141949,15.46
261,8247638,K00907.01,Kepler-251 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.51410989,3.387e-05,-3.387e-05,176.11686,0.00165,-0.00165,0.395,0.008,-0.395,4.1575,0.0539,-0.0539,973.5,18.5,-18.5,2.72,0.27,-0.24,655.0,,,43.57,13.8,-9.97,55.9,1.0,q1_q17_dr25_tce,5527.0,111.0,-111.0,4.488,0.075,-0.075,0.866,0.089,-0.074,296.56622,44.105862,15.223
271,9159275,K00930.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,3.044770796,4.462e-06,-4.462e-06,172.01916,0.00115,-0.00115,1.252,0.369,-0.108,10.0134,0.0663,-0.0663,1695.0,10.1,-10.1,24.54,4.89,-1.96,1076.0,,,317.36,196.04,-79.26,203.5,1.0,q1_q17_dr25_tce,5525.0,165.0,-165.0,4.603,0.032,-0.12,0.753,0.15,-0.06,293.68494,45.51683,15.621
