C,S,O,2,2,1,2,2,1,1,2
E,X,X,2,3,1,2,2,1,2,1
D,K,I,2,3,1,2,2,2,1,2
C,A,I,1,2,1,1,2,1,2,0
H,K,C,2,3,1,2,2,1,2,3
H,K,C,1,3,2,2,2,1,1,3
D,S,O,1,2,1,2,2,1,2,0
H,S,X,1,3,1,1,1,1,1,0
B,X,O,1,3,1,1,2,1,1,0
D,K,X,1,3,1,2,2,1,1,3
E,A,I,1,3,1,2,2,1,2,2
D,S,O,2,1,1,2,2,1,1,1
H,K,C,1,2,3,2,2,1,2,3
H,R,O,2,3,1,2,2,1,2,1
B,A,O,1,2,1,1,2,1,1,1
E,A,C,1,3,1,1,2,1,1,2
F,K,I,2,3,1,1,2,1,1,1
H,K,X,2,3,1,2,2,2,1,3
D,A,I,1,2,1,2,2,1,1,2
F,K,C,1,3,1,2,2,1,1,3
D,R,O,1,3,1,2,2,1,1,2
E,S,C,2,2,1,2,2,2,1,3
E,A,O,1,3,1,1,2,1,2,3
D,K,I,2,2,1,2,2,1,1,0
D,A,I,2,3,2,2,2,1,1,3
H,K,I,1,2,1,2,2,1,1,3
C,K,I,1,2,1,2,2,1,2,0
E,S,O,1,2,1,1,2,1,1,1
F,S,O,1,2,1,2,2,1,1,1
C,K,X,1,2,1,2,2,1,1,1
D,A,O,1,3,3,2,2,1,1,1
H,S,C,1,3,1,1,2,2,1,1
E,S,O,1,2,1,2,2,1,1,0
F,A,O,1,2,1,2,2,1,2,3
E,S,I,1,3,3,2,2,1,1,2
H,A,I,2,2,2,2,2,1,2,3
E,K,C,2,2,1,2,2,1,1,3
E,H,O,1,2,1,1,2,1,1,1
E,K,I,1,3,3,1,2,1,1,2
D,K,I,1,2,1,2,2,1,2,2
E,S,O,1,3,1,2,2,1,1,2
H,A,X,1,2,1,2,2,1,1,0
D,S,O,1,3,1,2,2,1,1,2
C,S,O,1,3,1,1,2,1,1,0
F,R,O,1,3,1,1,2,1,2,1
H,S,C,1,3,2,2,2,1,2,3
D,R,O,1,1,1,1,2,1,1,0
E,K,O,2,3,1,2,2,1,2,2
D,S,X,2,3,1,1,2,1,1,1
E,A,I,1,3,1,2,2,1,1,0
H,S,C,2,2,1,2,2,1,2,3
D,S,O,1,2,1,1,2,1,2,1
D,K,C,2,3,3,1,2,1,1,3
D,H,I,2,3,1,1,2,1,1,1
D,S,I,2,2,1,2,2,1,2,2
D,S,O,1,3,1,2,2,1,1,2
C,R,O,1,2,1,2,2,1,1,2
C,R,O,1,2,1,2,2,1,2,2
D,R,O,1,2,1,1,2,1,2,0
H,K,O,2,2,3,2,2,1,1,3
C,A,O,1,2,1,1,2,1,1,1
D,S,O,1,3,1,2,2,1,2,2
C,S,I,1,2,1,1,2,1,1,2
B,K,O,1,2,1,2,2,1,1,1
H,S,X,1,3,1,1,2,1,1,0
