85,44,70,205,103,52,149,45,19,144,241,325,188,127,9,11,180,183,negative 
94,43,64,173,69,7,150,43,19,142,169,344,177,68,9,1,199,206,negative 
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,positive
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,positive
89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185,196,negative 
88,37,51,105,52,5,119,57,17,128,135,207,125,86,8,16,179,183,negative 
93,46,82,145,58,11,159,43,20,160,180,371,189,77,2,4,183,194,negative 
91,45,79,176,59,9,163,40,20,148,184,404,179,62,0,10,199,208,positive
99,51,92,203,65,5,209,31,24,159,232,671,214,78,5,11,191,189,negative 
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,positive
97,42,101,186,59,9,186,36,22,138,208,511,168,67,7,41,194,206,positive
98,39,68,121,49,7,134,51,18,142,164,261,134,75,4,1,186,186,negative 
90,37,80,171,58,9,157,42,20,132,172,373,115,60,3,18,201,209,positive
93,36,64,165,69,8,136,49,18,136,161,279,127,67,2,29,193,204,negative 
82,45,68,139,64,6,147,46,19,143,169,320,184,80,0,1,181,184,negative 
94,39,89,194,62,9,172,38,21,135,191,444,121,63,4,23,201,209,negative
86,37,69,150,63,8,138,48,18,134,163,284,124,71,1,6,189,195,negative 
90,41,71,169,68,7,150,44,19,138,175,336,157,71,3,18,192,197,negative 
90,39,86,169,62,7,162,41,20,131,194,388,147,74,1,22,185,191,negative
100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197,198,negative 
93,41,79,159,63,8,144,46,19,150,165,309,134,67,4,9,195,203,negative 
95,38,66,126,52,8,133,52,18,140,158,253,140,78,11,8,184,183,negative 
100,46,81,187,61,9,166,40,20,154,189,415,175,63,13,9,198,207,positive
82,45,68,150,69,5,148,45,19,144,169,322,184,80,5,0,181,184,negative 
88,37,57,132,62,6,135,50,18,125,151,265,144,83,16,16,180,184,positive
93,36,63,139,57,8,132,50,18,136,158,260,121,67,3,27,193,201,negative 
106,53,98,193,60,10,215,31,24,169,224,681,218,73,8,21,188,197,positive
82,41,70,155,64,7,148,45,19,138,172,328,152,72,5,17,187,195,negative 
94,38,88,179,60,7,170,39,21,131,188,435,144,66,2,28,195,204,positive
98,44,78,160,63,8,142,47,18,148,160,300,171,63,19,2,201,207,negative 
99,57,109,220,66,11,221,30,25,176,234,725,236,70,10,25,188,200,negative
97,45,91,161,63,10,151,45,19,148,166,334,171,65,18,20,197,205,negative 
101,54,106,188,57,7,236,28,26,164,256,833,253,81,6,14,185,185,negative 
95,44,84,158,62,10,145,46,19,148,163,312,166,64,10,6,199,206,negative 
98,50,90,192,63,9,177,37,21,155,195,472,197,65,10,1,193,201,positive
91,45,76,171,69,7,150,44,19,144,170,340,179,69,12,1,195,201,negative 
95,47,81,176,59,7,168,39,20,152,196,425,185,67,4,4,191,198,positive
97,47,87,164,64,9,156,43,20,149,173,359,182,68,1,13,192,202,negative 
100,57,107,207,63,11,227,30,25,180,234,756,205,72,6,19,186,198,negative
93,44,90,166,65,10,153,44,19,156,170,348,143,66,9,17,194,203,negative 
89,41,75,162,66,5,153,43,19,136,175,352,154,72,2,0,188,195,negative 
80,38,64,130,59,8,134,51,18,126,152,259,135,76,1,23,179,188,negative
89,45,77,188,64,9,161,41,20,151,190,390,174,66,4,2,194,201,positive
90,47,73,136,58,11,161,42,20,153,172,376,185,77,11,8,183,191,negative 
91,46,75,185,75,7,154,42,19,147,178,362,192,72,8,8,192,199,negative 
94,37,74,169,59,7,162,41,20,133,178,394,130,63,6,6,198,204,negative
106,52,107,211,62,8,200,33,23,161,218,602,200,67,9,17,194,201,negative
