47,technician,married,secondary,no,351,yes,no,unknown,14,may,367,3,-1,0,unknown,no
48,retired,divorced,secondary,no,1207,no,no,cellular,11,may,339,1,118,5,unknown,yes
21,blue-collar,married,tertiary,no,195,no,no,cellular,15,aug,626,2,84,0,unknown,yes
55,admin.,married,secondary,no,9329,no,no,cellular,22,jun,136,1,95,1,failure,no
55,technician,married,unknown,no,26,no,no,cellular,11,jan,276,4,183,0,unknown,yes
57,blue-collar,divorced,tertiary,no,193,yes,no,cellular,27,nov,25,1,233,0,unknown,yes
61,blue-collar,married,primary,no,1115,no,no,cellular,14,aug,197,4,-1,0,unknown,no
75,entrepreneur,divorced,unknown,no,220,no,no,cellular,10,aug,1277,1,106,0,unknown,yes
68,management,divorced,secondary,no,6010,no,yes,unknown,28,may,840,3,67,0,unknown,yes
60,admin.,single,secondary,no,-243,no,no,cellular,15,jul,73,2,282,0,unknown,yes
52,services,married,secondary,no,-538,no,no,telephone,13,jul,25,2,94,2,success,yes
32,blue-collar,married,secondary,no,335,yes,no,cellular,13,may,240,3,370,1,failure,no
32,services,married,unknown,no,1016,no,no,cellular,30,jul,141,2,-1,0,unknown,no
90,admin.,divorced,tertiary,no,-538,yes,no,cellular,22,jun,199,1,105,0,unknown,yes
45,technician,married,tertiary,no,265,no,no,cellular,28,aug,14,3,-1,0,unknown,no
30,admin.,single,secondary,no,732,yes,no,cellular,28,jan,445,1,223,1,failure,no
33,management,single,secondary,no,-27,yes,no,cellular,1,apr,140,1,101,0,failure,yes
59,services,married,primary,no,196,yes,no,telephone,20,apr,205,1,-1,0,unknown,no
27,student,single,unknown,no,1444,no,no,cellular,2,feb,248,2,-1,0,unknown,no
46,technician,married,tertiary,no,3009,no,no,cellular,4,aug,58,2,-1,0,unknown,no
37,student,single,unknown,no,444,no,no,cellular,4,may,1063,5,-1,0,unknown,yes
50,blue-collar,divorced,unknown,no,362,no,no,cellular,19,aug,979,1,79,0,failure,yes
50,self-employed,married,secondary,no,1138,no,no,cellular,14,aug,219,10,-1,0,unknown,no
60,admin.,married,secondary,no,3735,no,no,cellular,22,sep,183,1,184,11,success,yes
27,services,single,secondary,no,2457,yes,no,unknown,29,may,123,4,-1,0,unknown,no
