a,22.92,1.25,u,g,q,v,0.25,f,f,0,t,g,00120,809,-
b,24.42,28.0,u,p,x,h,7.022,t,t,0,f,g,00160,1526,+
b,35.25,3.165,u,g,x,h,3.75,t,f,0,t,g,00680,0,-
b,17.08,3.29,u,g,i,v,0.335,f,f,0,t,g,00140,2,-
b,32.08,4.0,y,p,cc,v,1.5,f,f,0,t,g,00120,0,-
b,39.50,1.625,u,g,c,v,1.5,f,f,0,f,g,00000,316,-
b,67.75,14.885,u,g,w,h,27.35,t,t,2,t,g,00455,2786,+
b,22.25,0.46,u,g,k,v,0.125,f,f,0,t,g,00280,55,-
b,38.58,3.335,u,g,w,v,4.0,t,t,14,f,g,00383,1344,+
a,24.92,1.25,u,g,ff,ff,0.0,t,f,0,f,g,00080,0,-
b,23.08,8.647,u,g,k,?,27.51,t,f,0,f,g,00000,1401,+
a,22.67,0.335,u,g,q,v,0.75,f,f,0,f,s,00160,0,-
a,56.50,1.935,u,g,e,v,4.071,f,t,0,f,g,00240,22903,+
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,00720,0,-
b,65.17,1.802,u,p,w,v,3.028,t,t,0,t,g,00000,6076,+
b,41.42,5.0,u,g,q,h,5.0,t,t,6,t,g,00470,0,+
b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,00060,2184,+
b,28.58,3.625,u,g,aa,v,0.25,f,f,0,t,g,00100,0,-
a,21.33,1.191,y,?,m,?,6.824,t,f,0,f,g,00340,56883,+
b,44.33,0.5,u,g,i,h,5.0,t,f,0,t,g,00320,0,+
a,38.25,6.0,u,g,k,v,1.0,t,f,0,t,g,00000,0,+
a,20.08,1.25,u,g,c,v,0.0,f,f,0,f,g,00000,0,-
b,32.42,2.165,y,p,k,ff,0.0,f,f,0,f,g,00120,0,-
b,65.42,11.0,u,g,e,z,20.0,t,t,7,t,g,00022,0,+
b,18.83,0.0,u,g,q,v,0.665,f,f,0,f,g,00160,1,-
