4.91,2.7414,0,0,0,0,2,52.9,0,2,0,-0.302,3.364,0.629,10.06,5,1.018,1.098,0,0,0,1.279,3,0,0,0,2.333,0.004,0,10.717,1.207,0,1,0,0,3.767,2.5,0,8.427,0,0,RB
3.879,2.5951,0,0,0,0,0,31.0,2,0,0,0.0,2.908,2.281,8.743,0,0.96,1.143,0,0,0,1.202,0,0,0,0,1.902,0.036,0,0.0,3.685,0,0,0,0,2.924,1.611,0,7.029,0,0,RB
3.732,2.3761,0,0,1,0,0,26.3,2,0,1,0.0,2.532,1.585,8.16,0,0.969,1.157,0,0,0,1.152,0,0,0,0,1.802,-0.195,0,0.0,2.488,0,0,1,2,2.858,2.0,1,6.599,0,0,RB
3.732,2.4062,0,0,0,0,0,27.8,2,1,0,0.0,2.555,1.585,8.16,1,0.979,1.15,0,0,0,1.134,0,0,0,0,1.802,-0.205,0,0.0,2.488,0,0,0,1,2.874,2.333,0,6.649,0,0,RB
4.527,3.7942,0,0,0,0,0,32.5,4,4,0,-0.117,4.14,3.427,10.56,10,0.981,1.14,0,0,0,1.184,0,0,0,0,2.13,0.0,0,23.699,9.594,0,0,0,0,3.393,2.086,0,8.693,0,0,RB
4.347,3.1269,0,0,0,0,0,33.3,1,2,0,-0.076,3.809,3.309,9.933,3,0.975,1.138,0,0,0,1.202,0,0,0,0,2.019,0.0,0,10.914,8.395,0,0,0,0,3.358,1.96,0,8.298,0,0,RB
4.414,3.2274,0,0,0,0,0,45.5,0,2,0,0.0,2.935,1.203,9.209,1,1.038,1.114,0,0,0,1.296,1,0,0,0,2.152,-0.085,0,9.774,1.496,0,0,0,0,3.67,2.881,0,8.002,0,0,RB
4.414,2.3717,0,0,0,0,0,29.4,1,2,0,0.0,2.789,1.203,9.209,1,1.004,1.147,0,0,0,1.141,1,0,0,0,2.152,-0.074,0,0.0,1.496,0,0,0,1,3.238,2.405,0,7.243,0,0,RB
4.659,3.7176,2,0,0,0,0,23.1,0,4,0,-2.138,3.714,2.128,10.094,4,1.042,1.144,0,0,0,1.174,0,0,0,0,2.125,-0.002,0,20.538,4.56,0,0,4,6,4.061,3.333,2,8.992,0,0,RB
4.0,2.5101,0,0,0,0,0,25.0,2,1,0,0.0,2.199,0.811,8.318,0,0.988,1.156,0,0,0,1.118,0,0,0,0,1.732,-0.552,0,0.0,1.0,0,0,0,1,2.97,2.833,0,6.539,0,0,RB
