0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,negative
0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,negative
0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,negative
0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,negative
0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,negative
0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,negative
0.45,0.54,0.54,0.62,0.5,0.0,0.53,0.22,negative
0.57,0.61,0.55,0.27,0.5,0.0,0.44,0.21,negative
0.58,0.53,0.5,0.53,0.5,0.0,0.47,0.31,negative
0.55,0.59,0.47,0.64,0.5,0.0,0.54,0.33,negative
0.52,0.64,0.34,0.16,0.5,0.0,0.57,0.22,negative
0.56,0.68,0.52,0.39,0.5,0.0,0.36,0.22,negative
0.47,0.52,0.54,0.25,0.5,0.0,0.54,0.29,negative
0.54,0.47,0.58,0.4,0.5,0.0,0.46,0.27,negative
0.51,0.5,0.49,0.45,0.5,0.0,0.48,0.22,negative
0.51,0.59,0.46,0.13,0.5,0.0,0.48,0.22,negative
0.63,0.57,0.5,0.48,0.5,0.0,0.51,0.22,negative
0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,negative
0.57,0.61,0.55,0.67,0.5,0.0,0.48,0.22,negative
0.75,0.66,0.64,0.39,0.5,0.0,0.46,0.32,negative
0.45,0.53,0.51,0.42,0.5,0.0,0.52,0.22,negative
0.46,0.61,0.55,0.29,0.5,0.0,0.49,0.22,negative
0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,negative
0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,negative
0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,negative
0.58,0.6,0.43,0.12,0.5,0.0,0.55,0.22,negative
0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,negative
0.43,0.44,0.3,0.18,0.5,0.0,0.51,0.22,negative
0.39,0.37,0.33,0.23,0.5,0.0,0.53,0.26,negative
0.47,0.6,0.35,0.21,0.5,0.0,0.52,0.22,negative
0.66,0.55,0.34,0.2,0.5,0.0,0.62,0.22,negative
0.36,0.33,0.38,0.15,0.5,0.0,0.55,0.36,negative
0.51,0.51,0.32,0.27,0.5,0.0,0.54,0.22,negative
0.55,0.72,0.35,0.26,0.5,0.0,0.49,0.22,negative
0.42,0.28,0.33,0.23,0.5,0.0,0.39,0.26,negative
0.49,0.49,0.4,0.2,0.5,0.0,0.48,0.26,negative
0.61,0.76,0.3,0.16,0.5,0.0,0.45,0.41,negative
0.32,0.29,0.29,0.08,0.5,0.0,0.52,0.22,negative
0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,negative
0.82,0.78,0.49,0.23,0.5,0.0,0.46,0.22,negative
0.81,0.82,0.41,0.36,0.5,0.0,0.39,0.22,negative
0.7,0.58,0.53,0.39,0.5,0.0,0.59,0.22,negative
0.66,0.65,0.54,0.4,0.5,0.0,0.51,0.22,negative
0.63,0.55,0.53,0.51,0.5,0.0,0.55,0.22,negative
0.68,0.68,0.35,0.16,0.5,0.0,0.62,0.22,negative
0.73,0.59,0.35,0.15,0.5,0.0,0.54,0.22,negative
0.85,0.56,0.33,0.38,1.0,0.0,0.55,0.25,negative
0.66,0.66,0.32,0.54,0.5,0.0,0.51,0.22,positive
0.95,0.71,0.27,0.39,0.5,0.0,0.31,0.22,positive
0.55,0.52,0.44,0.2,0.5,0.0,0.56,0.22,positive
0.8,0.69,0.53,0.33,0.5,0.0,0.51,0.22,positive
0.71,0.51,0.49,0.23,0.5,0.0,0.3,0.32,positive
0.69,0.57,0.39,0.19,0.5,0.0,0.48,0.39,positive
