0.035,0.012,0.019,0.047,0.074,0.118,0.168,0.154,0.147,0.291,0.233,0.224,0.247,0.156,0.349,0.331,0.23,0.22,0.249,0.413,0.316,0.619,0.585,0.34,0.256,0.56,0.814,0.694,0.698,0.866,0.593,0.366,0.675,0.87,0.784,0.755,0.579,0.471,0.125,0.609,0.732,0.598,0.343,0.18,0.238,0.342,0.23,0.069,0.022,0.047,0.043,0.035,0.016,0.015,0.011,0.005,0.01,0.002,0.007,0.007, R
0.027,0.009,0.014,0.028,0.041,0.076,0.103,0.114,0.079,0.152,0.168,0.137,0.136,0.134,0.214,0.535,0.683,0.56,0.309,0.323,0.443,0.557,0.578,0.617,0.813,0.982,0.982,0.917,0.742,0.774,0.847,0.735,0.667,0.608,0.624,0.597,0.572,0.524,0.292,0.154,0.2,0.203,0.221,0.178,0.135,0.137,0.075,0.047,0.032,0.018,0.004,0.008,0.001,0.002,0.007,0.004,0.012,0.013,0.007,0.009, R
0.008,0.015,0.029,0.043,0.095,0.075,0.041,0.026,0.069,0.175,0.197,0.117,0.168,0.081,0.218,0.512,0.723,0.778,0.622,0.35,0.373,0.262,0.378,0.736,0.867,0.822,0.777,0.786,0.565,0.364,0.353,0.386,0.337,0.169,0.263,0.32,0.139,0.105,0.168,0.191,0.117,0.093,0.086,0.095,0.099,0.096,0.043,0.041,0.011,0.018,0.006,0.024,0.011,0.014,0.012,0.006,0.006,0.003,0.007,0.004, R
0.009,0.027,0.022,0.034,0.03,0.117,0.145,0.064,0.074,0.136,0.213,0.374,0.374,0.267,0.233,0.537,0.731,0.766,0.627,0.44,0.433,0.433,0.554,0.736,0.859,0.899,0.942,0.94,0.938,0.858,0.728,0.67,0.755,0.877,0.992,0.992,0.942,0.839,0.66,0.482,0.292,0.177,0.114,0.07,0.158,0.194,0.111,0.069,0.018,0.02,0.031,0.021,0.009,0.006,0.009,0.009,0.007,0.012,0.006,0.011, R
0.031,0.034,0.02,0.089,0.157,0.175,0.092,0.135,0.159,0.28,0.334,0.294,0.161,0.334,0.498,0.73,0.735,0.825,0.879,0.966,1.0,0.871,0.647,0.597,0.822,0.776,0.611,0.42,0.299,0.135,0.244,0.562,0.556,0.696,0.73,0.702,0.547,0.142,0.474,0.641,0.438,0.318,0.238,0.281,0.137,0.114,0.103,0.069,0.042,0.012,0.007,0.017,0.013,0.014,0.009,0.005,0.003,0.012,0.006,0.002, R
0.012,0.058,0.062,0.06,0.14,0.188,0.142,0.145,0.049,0.086,0.214,0.372,0.266,0.211,0.11,0.114,0.193,0.414,0.328,0.622,0.747,0.768,0.787,0.825,1.0,0.948,0.754,0.601,0.544,0.539,0.562,0.514,0.608,0.562,0.596,0.608,0.502,0.283,0.048,0.281,0.342,0.515,0.437,0.247,0.171,0.134,0.084,0.076,0.03,0.007,0.007,0.002,0.01,0.007,0.012,0.007,0.008,0.007,0.003,0.014, R
0.01,0.019,0.016,0.049,0.084,0.101,0.163,0.207,0.27,0.299,0.324,0.356,0.395,0.52,0.695,0.847,1.0,0.928,0.851,0.801,0.814,0.882,0.73,0.611,0.716,0.846,0.632,0.481,0.629,0.715,0.6,0.424,0.411,0.399,0.173,0.198,0.237,0.134,0.158,0.315,0.197,0.205,0.127,0.113,0.195,0.22,0.193,0.15,0.077,0.02,0.012,0.013,0.007,0.008,0.008,0.006,0.008,0.002,0.005,0.002, R
0.038,0.032,0.042,0.035,0.179,0.164,0.089,0.082,0.178,0.205,0.314,0.312,0.369,0.388,0.585,0.787,0.974,1.0,0.984,0.861,0.844,0.906,0.585,0.403,0.595,0.679,0.639,0.5,0.558,0.483,0.473,0.332,0.397,0.389,0.231,0.104,0.131,0.086,0.257,0.318,0.265,0.271,0.171,0.058,0.123,0.22,0.22,0.107,0.042,0.016,0.009,0.005,0.004,0.008,0.01,0.006,0.006,0.006,0.004,0.005, R
0.019,0.037,0.095,0.082,0.025,0.049,0.142,0.197,0.187,0.181,0.214,0.152,0.198,0.484,0.73,0.781,0.791,0.612,0.42,0.281,0.515,0.757,0.86,1.0,0.846,0.68,0.697,0.584,0.477,0.52,0.424,0.159,0.167,0.059,0.397,0.715,0.732,0.351,0.059,0.269,0.42,0.387,0.244,0.2,0.231,0.189,0.196,0.17,0.137,0.04,0.014,0.009,0.003,0.011,0.003,0.006,0.009,0.006,0.007,0.002, R
0.025,0.081,0.051,0.024,0.172,0.382,0.373,0.358,0.343,0.22,0.265,0.322,0.558,0.692,0.794,0.715,0.351,0.201,0.268,0.43,0.528,0.349,0.143,0.545,0.634,0.771,0.684,0.802,0.807,0.831,0.779,0.505,0.141,0.277,0.508,0.479,0.136,0.23,0.279,0.383,0.293,0.116,0.17,0.129,0.091,0.08,0.057,0.02,0.011,0.015,0.008,0.018,0.007,0.008,0.004,0.012,0.003,0.004,0.008,0.005, R
